PG.ProteinLabel	PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.Completeness	[1] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_A1_983t_S3-C7_1_5750.d.PG.Quantity	[2] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_B1_981s_S3-A8_1_5727.d.PG.Quantity	[3] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_C1_975s_S3-C11_1_5754.d.PG.Quantity	[4] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_D1_1s_S3-B2_1_5733.d.PG.Quantity	[5] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_E1_5t_S3-D7_1_5762.d.PG.Quantity	[6] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_F1_949t_S3-D1_1_5756.d.PG.Quantity	[7] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_G1_9t_S3-B4_1_5735.d.PG.Quantity	[8] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_H1_977t_S3-B12_1_5743.d.PG.Quantity	[9] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_I1_995s_S3-B7_1_5738.d.PG.Quantity	[10] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_J1_7s_S3-C5_1_5748.d.PG.Quantity	[11] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_K1_997t_S3-A4_1_5723.d.PG.Quantity	[12] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_L1_941t_S3-C3_1_5746.d.PG.Quantity	[13] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_M1_943s_S3-A3_1_5722.d.PG.Quantity	[14] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_N1_965t_S3-A10_1_5729.d.PG.Quantity	[15] 20231012_TIMS6_EVO4_PRI_X1194_P0146_R0966_44min_DIA-PASEF_O1_955s_S3-D6_1_5761.d.PG.Quantity
GBP6_MOUSE	A0A0G2JDV3	Gbp6	Guanylate-binding protein 6	40	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.049099922180176	NaN	4.891299724578857	13.559367179870605	13.484081268310547	25.231897354125977	5.584681034088135	NaN
NOVA2_MOUSE	A0A1W2P872	Nova2	RNA-binding protein Nova-2	100	159.63853454589844	146.08677673339844	116.83172607421875	109.23143768310547	235.00279235839844	186.06307983398438	152.568359375	152.80319213867188	187.65921020507812	197.81756591796875	133.4616241455078	208.9831085205078	130.59017944335938	218.9803009033203	153.75634765625
SL9A6_MOUSE	A1L3P4	Slc9a6	Sodium/hydrogen exchanger 6	100	88.29600524902344	74.38462829589844	70.64059448242188	92.59207153320312	92.45979309082031	73.56008911132812	62.679054260253906	59.397518157958984	116.35157012939453	73.76853942871094	64.42948150634766	89.6540756225586	46.398494720458984	60.34563064575195	47.29792785644531
CUL4B_MOUSE	A2A432	Cul4b	Cullin-4B	100	66.09733581542969	71.29878234863281	52.900875091552734	81.02754211425781	66.28250885009766	38.95879364013672	70.39506530761719	65.92337036132812	91.46212005615234	67.49954986572266	76.08870697021484	84.4413833618164	77.06819152832031	60.398380279541016	74.48905181884766
DHX8_MOUSE	A2A4P0	Dhx8	ATP-dependent RNA helicase DHX8	93.3	22.52775764465332	16.198745727539062	19.695409774780273	18.724695205688477	NaN	11.229117393493652	25.14249610900879	15.336036682128906	24.99407386779785	22.023361206054688	27.696041107177734	13.688532829284668	32.332191467285156	25.622819900512695	31.934663772583008
BIG2_MOUSE	A2A5R2	Arfgef2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	100	39.847171783447266	49.208656311035156	36.4175910949707	54.9102783203125	72.92120361328125	39.774723052978516	45.11691665649414	46.39898681640625	39.73042678833008	44.30937957763672	50.2633056640625	36.80926513671875	42.22941589355469	36.322174072265625	13.300249099731445
TANC2_MOUSE	A2A690	Tanc2	Protein TANC2	93.3	33.11910629272461	31.25125503540039	28.19452667236328	30.23432731628418	33.272369384765625	22.06307029724121	22.969350814819336	26.245079040527344	61.268821716308594	27.7535343170166	26.380826950073242	49.2376594543457	24.032466888427734	26.599687576293945	NaN
GPTC8_MOUSE	A2A6A1	Gpatch8	G patch domain-containing protein 8	100	11.93883228302002	22.921138763427734	14.438403129577637	25.14790916442871	31.68537712097168	13.352967262268066	17.04212760925293	15.020495414733887	29.42631721496582	20.450742721557617	15.832462310791016	28.1413631439209	21.534744262695312	26.91681671142578	35.58302307128906
ZMYM4_MOUSE	A2A791	Zmym4	Zinc finger MYM-type protein 4	80	29.328475952148438	NaN	26.50098991394043	24.627033233642578	NaN	26.7908878326416	31.55642318725586	33.33173751831055	29.418813705444336	48.735382080078125	38.92607498168945	37.95358657836914	28.215858459472656	24.303211212158203	NaN
CHD5_MOUSE	A2A8L1	Chd5	Chromodomain-helicase-DNA-binding protein 5	100	39.875545501708984	47.1027717590332	29.715173721313477	42.36852264404297	32.44560623168945	43.87104415893555	37.50251388549805	27.175830841064453	37.55633544921875	36.019920349121094	39.32757568359375	51.84291458129883	49.86489486694336	32.59407043457031	32.5966796875
